split,method,evaluation_scope,number_of_rows,MAE_RA,RMSE_RA,R2_RA,MAE_log10_RA,RMSE_log10_RA,Spearman_RA
train,Raw shallow RA,all_components,422025,0.0004627759770801411,0.0013296209023295408,0.9950472516773367,1.335772898564661,2.2363293128959323,0.8065913755735383
train,Raw shallow RA,specific_otus,420370,0.0004581928620615005,0.0013246322744573957,0.9950933153227811,1.340460611469409,2.2405588556772096,0.804039836099761
train,Training-mean RA,all_components,422025,0.0031150951289066284,0.01339004973414204,0.49770949093448646,1.8794509244226458,2.631673678957548,0.5566007139862024
train,Training-mean RA,specific_otus,420370,0.0031006041880779493,0.013393677626024527,0.4983542144494134,1.8855566683220735,2.636712902624649,0.5516611095945577
valid,Raw shallow RA,all_components,90525,0.00046629325845619693,0.001338792072241459,0.9950199148766129,1.3718973288604288,2.268974929274862,0.8068946765603559
valid,Raw shallow RA,specific_otus,90170,0.0004616621435514214,0.001333602732981312,0.995066970873888,1.37670023605896,2.2732215145664747,0.8043806770640021
valid,Training-mean RA,all_components,90525,0.003116094413820937,0.01359859843957697,0.48619443823578046,1.8183877920937213,2.5779592274695675,0.5569089384686928
valid,Training-mean RA,specific_otus,90170,0.0030990681862501463,0.013603030504888829,0.48674632232472015,1.8242235227893053,2.58289123219422,0.5519503525857405
test,Raw shallow RA,all_components,91800,0.0004578825853951166,0.0013052818307425318,0.9955379953245729,1.385395190476682,2.276448641019294,0.8022598038578928
test,Raw shallow RA,specific_otus,91440,0.00045319838323557807,0.0012991758303337335,0.9955877979935456,1.3902114250247575,2.2806598138925738,0.7996868325593568
test,Training-mean RA,all_components,91800,0.003126042747019649,0.01407726744362876,0.48101099343049913,1.8325226037379814,2.586618886330202,0.5625484175792582
test,Training-mean RA,specific_otus,91440,0.003107796299350124,0.014083614924884427,0.48150113859442456,1.838363420267715,2.5915611399878276,0.5576737565985891
