depth,method,abundance_group,number_of_rows,MAE_RA,RMSE_RA,MAE_log10_RA,RMSE_log10_RA,Spearman_RA
500,Raw shallow RA,Dominant (>=1e-2),6185,0.006797770999563615,0.009418918417682751,0.10200392532833825,0.2449423713785402,0.9380289899234058
500,Raw shallow RA,Common (1e-3 to 1e-2),11845,0.0019377863680188254,0.0025442614444523624,1.7141388033278238,2.8764043698031276,0.6192235495164936
500,Raw shallow RA,Rare (1e-4 to 1e-3),23080,0.0005660800301973933,0.0008511907074292176,3.8452840247363116,4.089781236250815,0.24118999985229095
500,Raw shallow RA,Very rare (<1e-4),20150,8.185620680684294e-05,0.0002927036873438723,3.4638277601346315,3.4895115698689136,0.09315261149387408
500,Raw shallow RA,Reference zero,30180,0.0,0.0,0.0,0.0,
500,Training-mean RA,Dominant (>=1e-2),6185,0.026170112361364385,0.04875490370241668,0.34074507247838565,0.47967239546695367,0.6116647839934387
500,Training-mean RA,Common (1e-3 to 1e-2),11845,0.005410355108876556,0.015004960625945413,0.4539449926543646,0.5864837756065066,0.42656883453233085
500,Training-mean RA,Rare (1e-4 to 1e-3),23080,0.0012063518943839966,0.0043192533704032665,0.430138230930661,0.586420703784812,0.24170943505862177
500,Training-mean RA,Very rare (<1e-4),20150,0.0007888883691383678,0.0031784144595319802,0.9671256547602927,1.1253415502008102,0.03448617666301462
500,Training-mean RA,Reference zero,30180,0.00048013218423442614,0.0021066248592230656,4.3472595136708145,4.365568851536222,
500,Random Forest,Dominant (>=1e-2),6185,0.006861918529966681,0.009825586112232134,0.09308144777149198,0.14482658993092828,0.9455074166658065
500,Random Forest,Common (1e-3 to 1e-2),11845,0.001532534300919694,0.002077418884192597,0.5205642028894071,0.9200789191883246,0.7022782623581683
500,Random Forest,Rare (1e-4 to 1e-3),23080,0.0003121930633874125,0.0004475579134795041,1.0896331719446883,1.4180675656261663,0.3535846572449517
500,Random Forest,Very rare (<1e-4),20150,4.990615278292932e-05,0.00012764298500431183,1.1896895947025714,1.4607139484508829,0.2572069837048091
500,Random Forest,Reference zero,30180,7.375470471019524e-06,4.42894219417771e-05,1.535314799687249,1.8490596582052319,
500,XGBoost,Dominant (>=1e-2),6185,0.007013873383267177,0.01003035953121052,0.09477402012042122,0.14570955739872263,0.9436882347312808
500,XGBoost,Common (1e-3 to 1e-2),11845,0.0015833624213503039,0.0021342538124718606,0.5317895156255648,0.9208270509564208,0.6963222715414921
500,XGBoost,Rare (1e-4 to 1e-3),23080,0.00031525181869588946,0.0004454816807181354,1.0937280387444255,1.4029969298508207,0.35502250917303657
500,XGBoost,Very rare (<1e-4),20150,4.737466697210175e-05,0.00011205869179992074,1.1665899367666992,1.4290153846284324,0.2602029002985201
500,XGBoost,Reference zero,30180,6.10346018733029e-06,3.196631978622664e-05,1.5545181442091793,1.845964150364333,
