sample_id,project_id,classification,run_count,first_run_id,calculated_total_reads,recorded_total_reads,all_runs_match_recorded,read_difference,minimum_reference_depth,eligible_reference_sample
SRS2821918,MGYS00002437,seawater,1,SRR6457303,492477.0,492477.0,True,0.0,10000,True
SRS2822206,MGYS00002437,seawater,1,SRR6457489,239412.0,239412.0,True,0.0,10000,True
SRS2822087,MGYS00002437,seawater,1,SRR6457134,236711.0,236711.0,True,0.0,10000,True
SRS2822097,MGYS00002437,seawater,1,SRR6457124,183647.0,183647.0,True,0.0,10000,True
SRS2822272,MGYS00002437,seawater,1,SRR6457423,178788.0,178788.0,True,0.0,10000,True
SRS2822066,MGYS00002437,seawater,1,SRR6457154,177316.0,177316.0,True,0.0,10000,True
SRS2821869,MGYS00002437,seawater,1,SRR6457355,170212.0,170212.0,True,0.0,10000,True
SRS2821898,MGYS00002437,seawater,1,SRR6457325,166690.0,166690.0,True,0.0,10000,True
SRS2821908,MGYS00002437,seawater,1,SRR6457313,164601.0,164601.0,True,0.0,10000,True
SRS2821825,MGYS00002437,seawater,1,SRR6457407,162026.0,162026.0,True,0.0,10000,True
SRS2822059,MGYS00002437,seawater,1,SRR6457159,159690.0,159690.0,True,0.0,10000,True
SRS2822263,MGYS00002437,seawater,1,SRR6457432,152938.0,152938.0,True,0.0,10000,True
SRS2821896,MGYS00002437,seawater,1,SRR6457327,152225.0,152225.0,True,0.0,10000,True
SRS2821995,MGYS00002437,seawater,1,SRR6457225,151926.0,151926.0,True,0.0,10000,True
SRS2821999,MGYS00002437,seawater,1,SRR6457220,151611.0,151611.0,True,0.0,10000,True
SRS2822084,MGYS00002437,seawater,1,SRR6457136,151358.0,151358.0,True,0.0,10000,True
SRS2822070,MGYS00002437,seawater,1,SRR6457150,150172.0,150172.0,True,0.0,10000,True
SRS2821820,MGYS00002437,seawater,1,SRR6457403,150168.0,150168.0,True,0.0,10000,True
SRS2822186,MGYS00002437,seawater,1,SRR6457509,148559.0,148559.0,True,0.0,10000,True
SRS2821976,MGYS00002437,seawater,1,SRR6457244,145843.0,145843.0,True,0.0,10000,True
SRS2822171,MGYS00002437,seawater,1,SRR6457524,144121.0,144121.0,True,0.0,10000,True
SRS2822004,MGYS00002437,seawater,1,SRR6457214,143771.0,143771.0,True,0.0,10000,True
SRS2822042,MGYS00002437,seawater,1,SRR6457176,142149.0,142149.0,True,0.0,10000,True
SRS2821973,MGYS00002437,seawater,1,SRR6457247,141074.0,141074.0,True,0.0,10000,True
SRS2822118,MGYS00002437,seawater,1,SRR6457103,140201.0,140201.0,True,0.0,10000,True
SRS2821916,MGYS00002437,seawater,1,SRR6457305,138931.0,138931.0,True,0.0,10000,True
SRS2822023,MGYS00002437,seawater,1,SRR6457196,137863.0,137863.0,True,0.0,10000,True
SRS2822063,MGYS00002437,seawater,1,SRR6457157,136910.0,136910.0,True,0.0,10000,True
SRS2821905,MGYS00002437,seawater,1,SRR6457317,135545.0,135545.0,True,0.0,10000,True
SRS2821842,MGYS00002437,seawater,1,SRR6457382,135050.0,135050.0,True,0.0,10000,True
SRS2821868,MGYS00002437,seawater,1,SRR6457356,133799.0,133799.0,True,0.0,10000,True
SRS2822085,MGYS00002437,seawater,1,SRR6457135,132677.0,132677.0,True,0.0,10000,True
SRS2822185,MGYS00002437,seawater,1,SRR6457510,132604.0,132604.0,True,0.0,10000,True
SRS2822261,MGYS00002437,seawater,1,SRR6457433,131954.0,131954.0,True,0.0,10000,True
SRS2821911,MGYS00002437,seawater,1,SRR6457310,131908.0,131908.0,True,0.0,10000,True
SRS2822100,MGYS00002437,seawater,1,SRR6457120,130723.0,130723.0,True,0.0,10000,True
SRS2822021,MGYS00002437,seawater,1,SRR6457198,129540.0,129540.0,True,0.0,10000,True
SRS2821974,MGYS00002437,seawater,1,SRR6457246,129310.0,129310.0,True,0.0,10000,True
SRS2821987,MGYS00002437,seawater,1,SRR6457234,129206.0,129206.0,True,0.0,10000,True
SRS2822277,MGYS00002437,seawater,1,SRR6457418,128855.0,128855.0,True,0.0,10000,True
SRS2821935,MGYS00002437,seawater,1,SRR6457285,128244.0,128244.0,True,0.0,10000,True
SRS2821937,MGYS00002437,seawater,1,SRR6457283,128041.0,128041.0,True,0.0,10000,True
SRS2821897,MGYS00002437,seawater,1,SRR6457326,127984.0,127984.0,True,0.0,10000,True
SRS2821934,MGYS00002437,seawater,1,SRR6457286,127933.0,127933.0,True,0.0,10000,True
SRS2821816,MGYS00002437,seawater,1,SRR6457408,127826.0,127826.0,True,0.0,10000,True
SRS2822270,MGYS00002437,seawater,1,SRR6457424,127140.0,127140.0,True,0.0,10000,True
SRS2821818,MGYS00002437,seawater,1,SRR6457405,126892.0,126892.0,True,0.0,10000,True
SRS2822196,MGYS00002437,seawater,1,SRR6457499,126709.0,126709.0,True,0.0,10000,True
SRS2821866,MGYS00002437,seawater,1,SRR6457358,126475.0,126475.0,True,0.0,10000,True
SRS2822041,MGYS00002437,seawater,1,SRR6457177,125762.0,125762.0,True,0.0,10000,True
SRS2822022,MGYS00002437,seawater,1,SRR6457195,124382.0,124382.0,True,0.0,10000,True
SRS2822068,MGYS00002437,seawater,1,SRR6457152,123886.0,123886.0,True,0.0,10000,True
SRS2822105,MGYS00002437,seawater,1,SRR6457115,123768.0,123768.0,True,0.0,10000,True
SRS2821855,MGYS00002437,seawater,1,SRR6457369,123758.0,123758.0,True,0.0,10000,True
SRS2821900,MGYS00002437,seawater,1,SRR6457323,123489.0,123489.0,True,0.0,10000,True
SRS2822184,MGYS00002437,seawater,1,SRR6457511,122188.0,122188.0,True,0.0,10000,True
SRS2822128,MGYS00002437,seawater,1,SRR6457093,121634.0,121634.0,True,0.0,10000,True
SRS2822276,MGYS00002437,seawater,1,SRR6457419,121549.0,121549.0,True,0.0,10000,True
SRS2821874,MGYS00002437,seawater,1,SRR6457350,119937.0,119937.0,True,0.0,10000,True
SRS2822020,MGYS00002437,seawater,1,SRR6457197,119899.0,119899.0,True,0.0,10000,True
SRS2822131,MGYS00002437,seawater,1,SRR6457089,119558.0,119558.0,True,0.0,10000,True
SRS2822094,MGYS00002437,seawater,1,SRR6457126,119530.0,119530.0,True,0.0,10000,True
SRS2822124,MGYS00002437,seawater,1,SRR6457097,119406.0,119406.0,True,0.0,10000,True
SRS2821944,MGYS00002437,seawater,1,SRR6457276,119085.0,119085.0,True,0.0,10000,True
SRS2822155,MGYS00002437,seawater,1,SRR6457540,118436.0,118436.0,True,0.0,10000,True
SRS2822139,MGYS00002437,seawater,1,SRR6457081,117854.0,117854.0,True,0.0,10000,True
SRS2822225,MGYS00002437,seawater,1,SRR6457470,117425.0,117425.0,True,0.0,10000,True
SRS2822062,MGYS00002437,seawater,1,SRR6457160,117276.0,117276.0,True,0.0,10000,True
SRS2822076,MGYS00002437,seawater,1,SRR6457144,116876.0,116876.0,True,0.0,10000,True
SRS2821824,MGYS00002437,seawater,1,SRR6457400,116648.0,116648.0,True,0.0,10000,True
SRS2822002,MGYS00002437,seawater,1,SRR6457216,116576.0,116576.0,True,0.0,10000,True
SRS2821907,MGYS00002437,seawater,1,SRR6457315,116336.0,116336.0,True,0.0,10000,True
SRS2822269,MGYS00002437,seawater,1,SRR6457426,116251.0,116251.0,True,0.0,10000,True
SRS2822203,MGYS00002437,seawater,1,SRR6457492,116027.0,116027.0,True,0.0,10000,True
SRS2821819,MGYS00002437,seawater,1,SRR6457404,115898.0,115898.0,True,0.0,10000,True
SRS2822086,MGYS00002437,seawater,1,SRR6457133,115868.0,115868.0,True,0.0,10000,True
SRS2821920,MGYS00002437,seawater,1,SRR6457301,115505.0,115505.0,True,0.0,10000,True
SRS2822082,MGYS00002437,seawater,1,SRR6457138,115347.0,115347.0,True,0.0,10000,True
SRS2821826,MGYS00002437,seawater,1,SRR6457398,114997.0,114997.0,True,0.0,10000,True
