sample_id,split,project_id,classification,run_count,first_run_id,calculated_total_reads,recorded_total_reads,all_runs_match_recorded,read_difference,minimum_reference_depth,eligible_reference_sample
SRS2821814,train,MGYS00002437,seawater,1,SRR6457410,63402.0,63402.0,True,0.0,10000,True
SRS2821815,train,MGYS00002437,seawater,1,SRR6457411,66420.0,66420.0,True,0.0,10000,True
SRS2821817,train,MGYS00002437,seawater,1,SRR6457406,82447.0,82447.0,True,0.0,10000,True
SRS2821819,train,MGYS00002437,seawater,1,SRR6457404,115898.0,115898.0,True,0.0,10000,True
SRS2821820,train,MGYS00002437,seawater,1,SRR6457403,150168.0,150168.0,True,0.0,10000,True
SRS2821821,train,MGYS00002437,seawater,1,SRR6457402,108202.0,108202.0,True,0.0,10000,True
SRS2821823,train,MGYS00002437,seawater,1,SRR6457399,78911.0,78911.0,True,0.0,10000,True
SRS2821825,train,MGYS00002437,seawater,1,SRR6457407,162026.0,162026.0,True,0.0,10000,True
SRS2821826,train,MGYS00002437,seawater,1,SRR6457398,114997.0,114997.0,True,0.0,10000,True
SRS2821827,train,MGYS00002437,seawater,1,SRR6457396,23892.0,23892.0,True,0.0,10000,True
SRS2821833,train,MGYS00002437,seawater,1,SRR6457390,78971.0,78971.0,True,0.0,10000,True
SRS2821834,train,MGYS00002437,seawater,1,SRR6457391,67229.0,67229.0,True,0.0,10000,True
SRS2821836,train,MGYS00002437,seawater,1,SRR6457388,67984.0,67984.0,True,0.0,10000,True
SRS2821839,train,MGYS00002437,seawater,1,SRR6457385,108837.0,108837.0,True,0.0,10000,True
SRS2821840,train,MGYS00002437,seawater,1,SRR6457384,112003.0,112003.0,True,0.0,10000,True
SRS2821841,train,MGYS00002437,seawater,1,SRR6457383,105233.0,105233.0,True,0.0,10000,True
SRS2821845,train,MGYS00002437,seawater,1,SRR6457379,66124.0,66124.0,True,0.0,10000,True
SRS2821847,train,MGYS00002437,seawater,1,SRR6457377,84427.0,84427.0,True,0.0,10000,True
SRS2821848,train,MGYS00002437,seawater,1,SRR6457376,62975.0,62975.0,True,0.0,10000,True
SRS2821851,train,MGYS00002437,seawater,1,SRR6457373,30291.0,30291.0,True,0.0,10000,True
SRS2821852,train,MGYS00002437,seawater,1,SRR6457372,77836.0,77836.0,True,0.0,10000,True
SRS2821853,train,MGYS00002437,seawater,1,SRR6457370,63085.0,63085.0,True,0.0,10000,True
SRS2821855,train,MGYS00002437,seawater,1,SRR6457369,123758.0,123758.0,True,0.0,10000,True
SRS2821856,train,MGYS00002437,seawater,1,SRR6457367,55888.0,55888.0,True,0.0,10000,True
SRS2821858,train,MGYS00002437,seawater,1,SRR6457366,86643.0,86643.0,True,0.0,10000,True
