method,sample_id,n_reference_positive_shallow_zeros,MAE_RA,RMSE_RA,MAE_log10_RA,RMSE_log10_RA,positive_prediction_rate,n_shallow_repeats
Random Forest,SRS2821816,104.6,0.00011415934855115745,0.00021275617125064887,1.6233056753973572,1.9028912539191147,1.0,5
Random Forest,SRS2821824,115.4,0.00014904226577416754,0.0002346348854723965,1.2525622267938696,1.4903182721736679,1.0,5
Random Forest,SRS2821835,69.8,7.889633345965136e-05,0.00011698433887937221,1.4033941484542214,1.7024347998002263,1.0,5
Random Forest,SRS2821843,105.2,0.00014683213684509898,0.00025460514969655163,1.386090323904575,1.5934192117502648,1.0,5
Random Forest,SRS2821844,44.6,0.00020626265880296655,0.00034510753753454095,1.016475465207092,1.2791030629388485,1.0,5
Random Forest,SRS2821854,27.0,0.00034971763770008196,0.0004332376332467941,1.5710912553214098,1.7739374703112247,1.0,5
Random Forest,SRS2821860,96.4,0.00013700149136451764,0.0002248477192897962,1.5775903886514315,1.776166215092918,1.0,5
Random Forest,SRS2821870,111.4,0.00011634657526313941,0.00020342569006502094,1.4234694626656972,1.6443581470103255,1.0,5
Random Forest,SRS2821871,106.2,0.0001361798841527059,0.00024107901407973372,1.4673598364445641,1.6974840222212335,1.0,5
Random Forest,SRS2821875,81.6,0.00016086996480324655,0.0002525429271870933,1.2370333775081184,1.4380891249100285,1.0,5
Random Forest,SRS2821881,58.2,8.206232174577922e-05,0.00014510540252208869,1.3251991374550685,1.6153839754902406,0.9967213114754099,5
Random Forest,SRS2821890,79.6,0.00014979341004401066,0.00022838194364033478,1.0602720770601537,1.3630885650823559,1.0,5
Random Forest,SRS2821892,84.0,0.00016526674032144657,0.00027972665845942744,1.1335063652239483,1.4807780230128027,0.9974999999999999,5
Random Forest,SRS2821893,35.6,0.00018072845562133933,0.000313679751394219,1.455670908541441,1.7706997312899078,1.0,5
Random Forest,SRS2821894,76.6,7.943165404317396e-05,0.00014364574118780373,1.4186752789807935,1.6810818320383594,1.0,5
Random Forest,SRS2821901,108.4,0.00011334344670075934,0.00019950732181686867,1.5424595375068146,1.7498699910869735,1.0,5
Random Forest,SRS2821905,104.2,0.00011213880382344589,0.00020843683874196937,1.5154128358786727,1.759847125055277,1.0,5
Random Forest,SRS2821908,105.8,0.00011237692531304939,0.00020090319593911256,1.7183596459825676,1.9527706945168362,1.0,5
Random Forest,SRS2821916,120.2,7.741526749145794e-05,0.00014736345548929775,1.5626807574857866,1.779132202830964,1.0,5
Random Forest,SRS2821919,83.8,0.00015062415442136724,0.00025434140733251385,1.4749752087548105,1.6556371418866367,1.0,5
Random Forest,SRS2821925,65.4,7.983953169312614e-05,0.00014104601913410942,1.59665038935429,1.9446672603002166,1.0,5
Random Forest,SRS2821928,70.4,0.0001651816973363481,0.0002652983337559903,1.2047508681276746,1.5656181637638187,1.0,5
Random Forest,SRS2821931,93.6,0.00015100972403303233,0.00022727267166288193,1.3949234995152051,1.6221742679727869,1.0,5
Random Forest,SRS2821932,91.8,0.00015277642932390382,0.0002492288438410094,1.2129848876967793,1.4277721969235848,1.0,5
Random Forest,SRS2821946,45.8,0.00011502566077477291,0.00021876146594679334,1.2523218634666435,1.585608131550594,1.0,5
Random Forest,SRS2821968,22.6,0.0001880867691029102,0.00030082123555177887,2.180726706215747,2.5488143904737988,1.0,5
Random Forest,SRS2821969,88.8,0.00016552479014216086,0.0002603846105469187,1.7731294730000478,2.070383367990579,0.9910844773204325,5
Random Forest,SRS2821970,96.6,0.0001305297173289554,0.00021156478076800921,0.9130745332403777,1.180888655469803,1.0,5
Random Forest,SRS2821972,104.2,0.00012264770143987185,0.0002214183135368153,1.0919520415859396,1.3415020183560704,1.0,5
Random Forest,SRS2821987,112.0,0.00010670538265881191,0.000205248518357871,1.6044070108954553,1.7955645009796526,1.0,5
Random Forest,SRS2821991,90.8,0.00015228734880830654,0.00024814967714933565,1.457659250353251,1.6549675660746666,1.0,5
Random Forest,SRS2822000,86.8,0.00013516421559859945,0.0002166208286114319,1.0524173552834821,1.2755146081287836,1.0,5
Random Forest,SRS2822019,91.6,0.00012837887039439134,0.00020196450463239192,1.544810761586547,1.7623356918260868,1.0,5
Random Forest,SRS2822023,104.0,9.057147881437865e-05,0.00017120981974841338,1.4155404461152574,1.6108617245706545,1.0,5
Random Forest,SRS2822025,95.2,0.00010975208998705984,0.00022420002396612214,1.5128817456184511,1.7139682961492686,1.0,5
Random Forest,SRS2822026,89.2,7.003913475008862e-05,0.0001475709901505801,1.3904619792514907,1.618246173061554,1.0,5
Random Forest,SRS2822053,75.8,0.00013484085369133185,0.0002435417271664327,1.5012406001400391,1.703782240371062,1.0,5
Random Forest,SRS2822060,86.8,0.00014047985306578966,0.0002481806314265264,1.513317536751266,1.7676628288627358,1.0,5
Random Forest,SRS2822063,90.0,0.00013236806891601824,0.0002491917633096942,1.529781830207863,1.794740643894452,1.0,5
Random Forest,SRS2822068,108.6,0.00013223705891440393,0.00021780201258206388,1.4417720205074172,1.638791869418143,1.0,5
Random Forest,SRS2822077,104.0,7.518333471799272e-05,0.00014873944919554946,1.3980674702433344,1.6252956707421675,1.0,5
Random Forest,SRS2822080,84.8,0.00014117443666139122,0.00022797168443092572,1.538189557074784,1.836021768390339,1.0,5
Random Forest,SRS2822089,96.4,0.00011929584040651719,0.00021041049558225385,0.919671018925048,1.1863539105733831,1.0,5
Random Forest,SRS2822111,80.6,0.00012378357894939415,0.00022915375220040665,1.6109015655198042,1.9017092960088366,1.0,5
Random Forest,SRS2822116,91.8,9.072282721148323e-05,0.00017460308193838775,1.4278526979341533,1.6636287632763043,1.0,5
Random Forest,SRS2822120,95.2,0.00012882719503657452,0.0002028186574908778,1.1099456189930077,1.333438463783484,1.0,5
Random Forest,SRS2822122,72.4,0.00019055716938707058,0.00028481115211344683,1.4383500483398644,1.630889212412463,1.0,5
