sample_id,split,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,log10_shallow_ra,zero_in_shallow,shallow_rank,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,target_reference_ra,target_log10_reference_ra,is_other,pred_raw_shallow_ra,pred_training_mean_ra,pred_random_forest_ra,pred_xgboost_ra,log1p_shallow_count,abundance_group,shallow_detection_group
SRS2822068,test,5,221529,2000,0,0.0,-8.0,1,91,1.0,90,0.0001303293645103,0.540785498489426,0.0005200551937006,0.0077908798915278,6.457549682772874e-05,-4.189864995237727,0,0.0,0.00013032936451030146,8.623258947844747e-07,6.380146323057153e-07,0.0,Very rare (<1e-4),Shallow zero
SRS2822279,test,3,71581,2000,0,0.0,-8.0,1,112,1.0,111,9.826839780148766e-05,0.3474320241691843,0.0009270886668867,0.0159958271755194,8.391138957261133e-05,-4.076127333695325,0,0.0,9.826839780148877e-05,9.777385505202163e-07,6.767621827171805e-07,0.0,Very rare (<1e-4),Shallow zero
SRS2821987,test,4,9456,2000,0,0.0,-8.0,1,81,1.0,80,0.0001179264307797,0.6918429003021148,0.000235178802523,0.0014995104903771,7.739578657337892e-06,-5.110721909334661,0,0.0,0.00011792643077970135,3.2093949879645586e-07,9.715919068826613e-07,0.0,Very rare (<1e-4),Shallow zero
SRS2822183,test,3,26524,2000,0,0.0,-8.0,1,113,1.0,112,0.0003335211770506,0.486404833836858,0.0013181984640334,0.0174302355907154,0.0,-8.0,0,0.0,0.0003335211770506038,9.184921235365371e-07,8.246951680147606e-07,0.0,Reference zero,Shallow zero
SRS2822111,test,4,221529,2000,0,0.0,-8.0,1,63,1.0,62,0.0001303293645103,0.540785498489426,0.0005200551937006,0.0077908798915278,0.0,-8.0,0,0.0,0.00013032936451030146,5.557219398158205e-08,5.908645209909007e-08,0.0,Reference zero,Shallow zero
SRS2822168,test,5,102973,2000,0,0.0,-8.0,1,78,1.0,77,0.0001642302972569,0.4169184290030212,0.0008348129737885,0.0090578035750596,0.0,-8.0,0,0.0,0.00016423029725690186,1.995287026223916e-07,1.7251431883279773e-07,0.0,Reference zero,Shallow zero
SRS2822133,test,4,192431,2000,0,0.0,-8.0,1,107,1.0,106,0.0001661506473655,0.6978851963746223,0.0002586186625329,0.0016578491844844,0.0,-8.0,0,0.0,0.00016615064736550186,1.0669048928587566e-06,1.2688703510555806e-06,0.0,Reference zero,Shallow zero
SRS2821875,test,4,129390,2000,0,0.0,-8.0,1,94,1.0,93,0.0001395612755736,0.6374622356495468,0.0002292280571613,0.001612178145685,0.0002617277108062753,-3.582133700305529,0,0.0,0.00013956127557360158,3.267311835814859e-05,1.3079778386308328e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero
SRS2821901,test,2,211915,2000,0,0.0,-8.0,1,92,1.0,91,0.0001747091142091,0.6314199395770392,0.000263576731316,0.0017431061580225,3.0745895422961036e-05,-4.5120716244656265,0,0.0,0.00017470911420910197,2.2852463697094245e-05,1.1645069440284644e-05,0.0,Very rare (<1e-4),Shallow zero
SRS2822063,test,4,185862,2000,0,0.0,-8.0,1,79,1.0,78,0.0005944871030864,0.8187311178247734,0.0012293091412168,0.0104048176647708,0.0005185888539916732,-3.2851684472767375,0,0.0,0.0005944871030864067,2.233635154048802e-06,7.871770921615499e-06,0.0,Rare (1e-4 to 1e-3),Shallow zero
SRS2822116,test,5,175037,2000,0,0.0,-8.0,1,65,1.0,64,0.0001830570278964,0.6435045317220544,0.0005159711415204,0.0056059711109917,9.496375549998415e-05,-4.0223963885658796,0,0.0,0.00018305702789640207,5.938664989501332e-07,3.9679409252559455e-07,0.0,Very rare (<1e-4),Shallow zero
SRS2821875,test,1,146247,2000,0,0.0,-8.0,1,94,1.0,93,0.0001146733348428,0.2326283987915408,0.0012743383610444,0.0179798771723507,0.0,-8.0,0,0.0,0.0001146733348428013,8.541022685770349e-08,1.0696279977995812e-07,0.0,Reference zero,Shallow zero
SRS2822180,test,2,11043,2000,0,0.0,-8.0,1,69,1.0,68,0.0001143891157707,0.7250755287009063,0.0002701224473978,0.0030135610246107,9.06799180253541e-06,-5.042010213762727,0,0.0,0.0001143891157707013,2.3627166850815518e-07,1.6784749684649802e-06,0.0,Very rare (<1e-4),Shallow zero
SRS2822298,test,3,9456,2000,0,0.0,-8.0,1,79,1.0,78,0.0001179264307797,0.6918429003021148,0.000235178802523,0.0014995104903771,1.6506825572374177e-05,-4.782073417601298,0,0.0,0.00011792643077970135,7.858602983437488e-07,6.439245797210799e-07,0.0,Very rare (<1e-4),Shallow zero
SRS2822280,test,2,145222,2000,1,0.0005,-3.3010213098612007,0,80,0.8421052631578947,94,0.0007604187236067,0.6918429003021148,0.0026780719289448,0.031470961865727,0.0004166106706087892,-3.380259186359874,0,0.0005,0.0007604187236067085,0.00044984019905476244,0.00038604480090435677,0.6931471805599453,Rare (1e-4 to 1e-3),Detected in shallow
SRS2822080,test,5,182860,2000,0,0.0,-8.0,1,92,1.0,91,0.0008390357207221,0.9667673716012084,0.0023867981127546,0.0349421542369605,4.1164686187875625e-05,-4.385369702113116,0,0.0,0.0008390357207221095,0.00024150181081147723,0.00012436285357869797,0.0,Very rare (<1e-4),Shallow zero
SRS2822153,test,4,232457,2000,1,0.0005,-3.3010213098612007,0,111,0.9823008849557522,112,8.391437579752134e-05,0.4380664652567976,0.0001503158490189,0.0009858625280767,0.00022537519848383957,-3.647074608378044,0,0.0005,8.391437579752229e-05,0.00021282149227559122,0.00017778105655839996,0.6931471805599453,Rare (1e-4 to 1e-3),Detected in shallow
SRS2822236,test,5,7129,2000,0,0.0,-8.0,1,60,1.0,59,0.0001456493903082,0.4773413897280967,0.000590290679913,0.0063272737341991,0.0,-8.0,0,0.0,0.00014564939030820167,3.1773496646454283e-08,3.803487906853744e-08,0.0,Reference zero,Shallow zero
SRS2822183,test,2,232457,2000,0,0.0,-8.0,1,111,1.0,110,8.391437579752134e-05,0.4380664652567976,0.0001503158490189,0.0009858625280767,4.595852243350376e-05,-4.337539455555518,0,0.0,8.391437579752229e-05,0.00010885482837047864,5.1260744608464446e-05,0.0,Very rare (<1e-4),Shallow zero
SRS2822129,test,5,118090,2000,223,0.1115,-0.9527250936656445,0,2,0.017699115044247787,112,0.0508609229361784,0.9577039274924471,0.0607665946530233,0.2486033124478452,0.10451120461884725,-0.9808371049045062,0,0.1115,0.05086092293617898,0.11101821876642515,0.11532875684998474,5.4116460518550396,Dominant (>=1e-2),Detected in shallow
SRS2821972,test,5,83909,2000,2,0.001,-2.9999956570768957,0,70,0.6730769230769231,103,0.0002642183060732,0.6253776435045317,0.0005672189765421,0.0059502664298401,0.0005695239340099155,-3.2444803946503673,0,0.001,0.000264218306073203,0.000517118966808921,0.0005524711439184466,1.0986122886681098,Rare (1e-4 to 1e-3),Detected in shallow
SRS2822111,test,4,168997,2000,3,0.0015,-2.8239058456574235,0,41,0.6507936507936508,62,0.0003494230173817,0.5196374622356495,0.0011893367381893,0.0116778069650706,0.0012954751856402587,-2.8875675489703023,0,0.0015,0.00034942301738170395,0.0013498828485842764,0.0013333817728122758,1.3862943611198906,Common (1e-3 to 1e-2),Detected in shallow
SRS2822168,test,4,99344,2000,0,0.0,-8.0,1,68,1.0,67,9.211405798961762e-05,0.6283987915407855,0.0001054085651696,0.000696605732391,8.41841950187009e-05,-4.074717850997436,0,0.0,9.211405798961866e-05,4.753970375011044e-08,7.147550577596801e-08,0.0,Very rare (<1e-4),Shallow zero
SRS2822000,test,3,28602,2000,68,0.034,-1.4685209552240925,0,9,0.08823529411764706,101,0.0147755809298305,1.0,0.0135068994825057,0.0547245191861005,0.03913943062952604,-1.4073853854548732,0,0.034,0.014775580929830667,0.034413944543626694,0.03480294799624176,4.23410650459726,Dominant (>=1e-2),Detected in shallow
SRS2821968,test,5,222950,2000,0,0.0,-8.0,1,62,1.0,61,0.0001302223109175,0.4078549848942598,0.0002588689807413,0.0015302319752524,0.0,-8.0,0,0.0,0.00013022231091750148,0.0,2.1907298809534678e-10,0.0,Reference zero,Shallow zero
SRS2821928,test,3,192431,2000,0,0.0,-8.0,1,107,1.0,106,0.0001661506473655,0.6978851963746223,0.0002586186625329,0.0016578491844844,0.0,-8.0,0,0.0,0.00016615064736550186,1.074158631454719e-06,1.2093063669225612e-06,0.0,Reference zero,Shallow zero
SRS2822256,test,1,78621,2000,0,0.0,-8.0,1,85,1.0,84,0.0001351882838644,0.56797583081571,0.0003541799624757,0.0035969250677165,0.0001452874049027895,-3.837742142387892,0,0.0,0.00013518828386440153,2.577606283126336e-06,1.2427127665759158e-06,0.0,Rare (1e-4 to 1e-3),Shallow zero
