sample_id,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,zero_in_shallow,target_reference_ra,target_log10_reference_ra,pred_raw_shallow_ra,pred_random_forest_ra,pred_xgboost_ra,is_other,abundance_group,shallow_detection_group,log1p_shallow_count,log10_shallow_ra,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,SHAP__log1p_shallow_count,SHAP__log10_shallow_ra,SHAP__zero_in_shallow,SHAP__shallow_rank_norm,SHAP__shallow_richness,SHAP__otu_mean_ra_train,SHAP__otu_prevalence_train,SHAP__otu_std_ra_train,SHAP__otu_max_ra_train,SHAP__is_other,SHAP_base_value,SHAP_sum,SHAP_reconstructed_log_prediction,model
SRS2821919,5,221529,2000,0,0.0,1.0,1.7313019390581722e-05,-4.7613764084859955,0.0,1.7807590451577353e-06,1.1742456215196942e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,91.0,0.00013032937,0.5407855,0.0005200552,0.00779088,-0.1700105232224535,-0.201436387616559,-0.14711446672436876,-0.5631719956221798,0.17576017551794398,0.07198284023796844,-0.04752483712422033,0.0647801279221301,0.02430128537955532,-9.397178646418198e-06,-4.971818744832586,-0.7924431784308299,-5.764261923263415,Random Forest
SRS2821875,3,71581,2000,0,0.0,1.0,0.0,-8.0,0.0,2.4610197078800837e-07,2.1385177370292093e-07,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,97.0,9.82684e-05,0.34743202,0.00092708867,0.015995827,-0.18488923003551114,-0.21856652469414387,-0.1638776533756357,-0.6321325099609928,0.18642104260642348,0.016668755026446363,-0.7563185749008333,0.03655993663228192,0.08625492355530168,-9.191717909571306e-06,-4.971818744832586,-1.629889026864573,-6.601707771697159,Random Forest
SRS2821987,4,9456,2000,0,0.0,1.0,7.739578657337892e-06,-5.110721909334661,0.0,3.5526403578940766e-06,1.8188680697371111e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,82.0,0.00011792643,0.6918429,0.0002351788,0.0014995105,-0.16261486510906406,-0.19072469839626874,-0.13734870292767118,-0.5372774248078745,-0.01190855179215286,0.02486591293033813,0.40886254140646994,0.05695724971356973,0.06540931478325233,-1.142949071127926e-05,-4.971818744832586,-0.48379065369011254,-5.455609398522698,Random Forest
SRS2821972,3,26524,2000,0,0.0,1.0,9.336457934588778e-06,-5.029352944305412,0.0,7.889203039445009e-07,9.63715410062733e-07,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,108.0,0.00033352117,0.48640484,0.0013181985,0.017430235,-0.17087851251384828,-0.19990618637547422,-0.14836565417787145,-0.5753760675418138,0.5160492700333792,-0.02279458387793123,-0.360908249799539,-0.22360053014452083,0.050461988551467434,-9.380653340367816e-06,-4.971818744832586,-1.1353279064994923,-6.107146651332078,Random Forest
SRS2822218,4,221529,2000,0,0.0,1.0,0.0,-8.0,0.0,1.7274240368515094e-08,5.40358819965342e-08,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,60.0,0.00013032937,0.5407855,0.0005200552,0.00779088,-0.19197468174019944,-0.2262575627270266,-0.16945447383404905,-0.6626029472592729,-0.6731175203576351,-0.13417768195317528,-0.4356454159357291,-0.03867169375640235,-0.06566984254108052,-8.839536660114203e-06,-4.971818744832586,-2.5975806596412303,-7.569399404473816,Random Forest
SRS2822269,5,102973,2000,0,0.0,1.0,0.0,-8.0,0.0,6.154027960323638e-08,1.108945987332502e-07,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,70.0,0.0001642303,0.41691843,0.000834813,0.009057804,-0.19086360281346432,-0.2247321413472101,-0.16858149364050648,-0.6535137000754079,-0.2593328934200945,-0.060577990259607646,-0.6084013505432312,-0.013179261652690526,-0.006749135529652274,-1.0588039711436233e-05,-4.971818744832586,-2.1859421573215765,-7.157760902154163,Random Forest
SRS2821824,4,192431,2000,0,0.0,1.0,8.572800219463686e-06,-5.066370996364076,0.0,1.9203959047480464e-06,1.9217771156626263e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,105.0,0.00016615065,0.6978852,0.00025861867,0.0016578492,-0.15315929139948165,-0.18033624704590642,-0.1307174509788591,-0.5053234652139671,0.26565452392168915,-0.31290656056852256,0.25737199810542427,0.04065725491253698,-0.04419537357940191,-9.014608265082127e-06,-4.971818744832586,-0.7629636264547535,-5.73478237128734,Random Forest
SRS2822298,4,129390,2000,0,0.0,1.0,0.0,-8.0,0.0,2.166134901095063e-06,1.186435604561667e-06,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,77.0,0.00013956128,0.63746226,0.00022922806,0.0016121782,-0.1638100239046323,-0.19192111604991988,-0.1423120707951369,-0.5396449605038475,0.014180971144669926,0.00310457699183104,0.2463273118599389,0.021069072167825664,0.04827668388015779,-1.1625636843472659e-05,-4.971818744832586,-0.7047411808459567,-5.676559925678543,Random Forest
SRS2821969,2,211915,2000,0,0.0,1.0,0.0002969473809241003,-3.5273058757926803,0.0,6.439292552802859e-07,8.400163846498421e-07,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,79.0,0.00017470912,0.63141996,0.00026357675,0.0017431062,-0.16952042108877308,-0.20056782938303266,-0.14717805267188996,-0.5644512612776111,-0.19017106561438313,-0.037968078846264,0.09906556470843382,-0.00986395133020153,0.0023682027528181453,-1.1038700270900544e-05,-4.971818744832586,-1.2182979314511744,-6.19011667628376,Random Forest
SRS2822068,4,185862,2000,0,0.0,1.0,0.000177582616276254,-3.7505750947350087,0.0,1.1987617766893568e-05,5.848354390547695e-06,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,91.0,0.0005944871,0.8187311,0.0012293091,0.010404818,-0.1531933756622699,-0.18173345145232014,-0.13028822930212666,-0.48384168172429626,0.055211227491161405,0.08757480456203084,0.8334714581219131,-0.006047192541078545,0.017799609374357764,-1.3233329061522988e-05,-4.971818744832586,0.038939935538310134,-4.932878809294276,Random Forest
