sample_id,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,zero_in_shallow,target_reference_ra,target_log10_reference_ra,pred_raw_shallow_ra,pred_random_forest_ra,pred_xgboost_ra,is_other,abundance_group,shallow_detection_group,log1p_shallow_count,log10_shallow_ra,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,SHAP__log1p_shallow_count,SHAP__log10_shallow_ra,SHAP__zero_in_shallow,SHAP__shallow_rank_norm,SHAP__shallow_richness,SHAP__otu_mean_ra_train,SHAP__otu_prevalence_train,SHAP__otu_std_ra_train,SHAP__otu_max_ra_train,SHAP__is_other,SHAP_base_value,SHAP_sum,SHAP_reconstructed_log_prediction,model
SRS2821919,5,221529,2000,0,0.0,1.0,1.7313019390581722e-05,-4.7613764084859955,0.0,1.7807590451577353e-06,1.1742456215196942e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,91.0,0.00013032937,0.5407855,0.0005200552,0.00779088,-0.9159566164016724,-0.17873211205005646,-0.0017872906755656004,0.02014828473329544,0.14267967641353607,-0.008696564473211765,-0.050464265048503876,0.05843910574913025,-0.0376770980656147,-1.1636002454906702e-05,-4.97199010848999,-0.9720585158211179,-5.944048624311108,XGBoost
SRS2821875,3,71581,2000,0,0.0,1.0,0.0,-8.0,0.0,2.4610197078800837e-07,2.1385177370292093e-07,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,97.0,9.82684e-05,0.34743202,0.00092708867,0.015995827,-1.0171834230422974,-0.1959736943244934,-0.0013395489659160376,0.017729515209794044,0.17535939812660217,-0.0993952751159668,-0.6672648191452026,-0.0228074062615633,0.10132988542318344,-1.0633378224156331e-05,-4.97199010848999,-1.709556001474084,-6.681546109964074,XGBoost
SRS2821987,4,9456,2000,0,0.0,1.0,7.739578657337892e-06,-5.110721909334661,0.0,3.5526403578940766e-06,1.8188680697371111e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,82.0,0.00011792643,0.6918429,0.0002351788,0.0014995105,-0.8748183846473694,-0.1734694093465805,-0.002109012333676219,0.016875585541129112,-0.09475947171449661,0.03277686983346939,0.29258993268013,-0.008363607339560986,0.022959308698773384,-1.3407237929641269e-05,-4.97199010848999,-0.7883315958661115,-5.760321704356102,XGBoost
SRS2821972,3,26524,2000,0,0.0,1.0,9.336457934588778e-06,-5.029352944305412,0.0,7.889203039445009e-07,9.63715410062733e-07,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,108.0,0.00033352117,0.48640484,0.0013181985,0.017430235,-0.9047431945800781,-0.17476080358028412,-0.0019102862570434809,0.02239563874900341,0.5268607139587402,-0.039662811905145645,-0.31277185678482056,-0.20810239017009735,0.03592048957943916,-1.1777274266933091e-05,-4.97199010848999,-1.0567862782645534,-6.028776386754544,XGBoost
SRS2822218,4,221529,2000,0,0.0,1.0,0.0,-8.0,0.0,1.7274240368515094e-08,5.40358819965342e-08,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,60.0,0.00013032937,0.5407855,0.0005200552,0.00779088,-1.0044405460357666,-0.2012748420238495,-0.001247743726707995,0.01920415461063385,-0.6069654226303101,-0.08692734688520432,-0.311156302690506,-0.015812953934073448,-0.05320071056485176,-1.0140764970856253e-05,-4.97199010848999,-2.2618318546456067,-7.233821963135597,XGBoost
SRS2822269,5,102973,2000,0,0.0,1.0,0.0,-8.0,0.0,6.154027960323638e-08,1.108945987332502e-07,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,70.0,0.0001642303,0.41691843,0.000834813,0.009057804,-1.03056001663208,-0.20324862003326416,-0.0028086090460419655,0.021512454375624657,-0.19116102159023285,-0.0502389520406723,-0.5312787890434265,0.030361885204911232,-0.0020898955408483744,-1.2462883205444086e-05,-4.97199010848999,-1.9595240272292358,-6.931514135719226,XGBoost
SRS2821824,4,192431,2000,0,0.0,1.0,8.572800219463686e-06,-5.066370996364076,0.0,1.9203959047480464e-06,1.9217771156626263e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,105.0,0.00016615065,0.6978852,0.00025861867,0.0016578492,-0.8098620176315308,-0.15721340477466583,-0.002179487841203809,0.015466257929801941,0.2167690247297287,-0.22918473184108734,0.2782305181026459,0.029646527022123337,-0.09774699807167053,-1.0603553164401092e-05,-4.97199010848999,-0.7560849159290228,-5.728075024419013,XGBoost
SRS2822298,4,129390,2000,0,0.0,1.0,0.0,-8.0,0.0,2.166134901095063e-06,1.186435604561667e-06,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,77.0,0.00013956128,0.63746226,0.00022922806,0.0016121782,-0.8804330825805664,-0.17270122468471527,-0.00315103936009109,0.018195917829871178,-0.04488867521286011,0.041248105466365814,0.15812496840953827,-0.05178055539727211,0.014672355726361275,-1.2949966730957385e-05,-4.97199010848999,-0.9207261797700994,-5.89271628826009,XGBoost
SRS2821969,2,211915,2000,0,0.0,1.0,0.0002969473809241003,-3.5273058757926803,0.0,6.439292552802859e-07,8.400163846498421e-07,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,79.0,0.00017470912,0.63141996,0.00026357675,0.0017431062,-0.8939054012298584,-0.17838464677333832,-0.003474055789411068,0.01775304786860943,-0.19436025619506836,0.009149507619440556,0.10175734758377075,-0.04425467178225517,-0.014953388832509518,-1.299721589020919e-05,-4.97199010848999,-1.2006855147465103,-6.1726756232365005,XGBoost
SRS2822068,4,185862,2000,0,0.0,1.0,0.000177582616276254,-3.7505750947350087,0.0,1.1987617766893568e-05,5.848354390547695e-06,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,91.0,0.0005944871,0.8187311,0.0012293091,0.010404818,-0.8246973156929016,-0.16120579838752747,-0.002290550619363785,0.027972767129540443,-0.0026238164864480495,0.07394948601722717,0.6886927485466003,-0.061950068920850754,-0.004250131547451019,-1.9092742149950936e-05,-4.97199010848999,-0.2664217727033247,-5.238411881193315,XGBoost
