model,importance_rank,feature,mean_abs_SHAP,importance_percent,mean_signed_SHAP
Random Forest,1,shallow_rank_norm,0.7242655289069659,31.340974440761123,-0.034458749807361334
Random Forest,2,otu_prevalence_train,0.5697151865178838,24.653153279457033,0.149630724572653
Random Forest,3,shallow_richness,0.26670648440608913,11.541127911432342,0.022633827380439044
Random Forest,4,log10_shallow_ra,0.20577175531952885,8.904313496505381,-0.08070491303251996
Random Forest,5,zero_in_shallow,0.18565479602027596,8.033796977273518,-0.009540529041457862
Random Forest,6,log1p_shallow_count,0.17503870558036522,7.574409355112101,-0.07108061938976368
Random Forest,7,otu_mean_ra_train,0.08515288291285303,3.6848009747978256,0.006813051369776438
Random Forest,8,otu_std_ra_train,0.05318992830986298,2.3016754451660035,-3.641610021532626e-05
Random Forest,9,otu_max_ra_train,0.0453697524678127,1.9632747876642735,0.002478659723439704
Random Forest,10,is_other,5.715677378490807e-05,0.0024733318304028702,-5.32926103906877e-05
XGBoost,1,log1p_shallow_count,1.0602021565039952,47.112813518203616,-0.1552572367588679
XGBoost,2,otu_prevalence_train,0.5136694173454696,22.826223584756704,0.1400903642552051
XGBoost,3,shallow_richness,0.25295955785006907,11.240909484598502,0.024925608878644805
XGBoost,4,log10_shallow_ra,0.20570779984196028,9.141155914218997,-0.03056927060087522
XGBoost,5,otu_mean_ra_train,0.0886597081113238,3.9398224849879586,0.004131835581647465
XGBoost,6,otu_std_ra_train,0.06418535920411765,2.8522417543027454,-0.0011057470114974421
XGBoost,7,otu_max_ra_train,0.04273208591880878,1.898910300065124,-0.004084993679158894
XGBoost,8,shallow_rank_norm,0.019523499297647504,0.8675769767021597,0.009393949306055825
XGBoost,9,zero_in_shallow,0.002655865508155936,0.11802022439548603,-0.0005105168683076045
XGBoost,10,is_other,5.2337638483853276e-05,0.002325757768691772,-4.2592574078904966e-05
