model,subgroup_variable,subgroup,number_of_rows,importance_rank,feature,mean_abs_SHAP,importance_percent,mean_signed_SHAP
Random Forest,abundance_group,Very rare (<1e-4),68,1,otu_prevalence_train,0.5350668268329283,24.448593093764583,0.20418270509178238
Random Forest,abundance_group,Very rare (<1e-4),68,2,shallow_richness,0.37235659190111425,17.013939838236034,0.006666726493191806
Random Forest,abundance_group,Very rare (<1e-4),68,3,zero_in_shallow,0.2797960996872763,12.784610533540997,-0.21916532527669
Random Forest,abundance_group,Very rare (<1e-4),68,4,log10_shallow_ra,0.2710143689361302,12.38335044596541,-0.2585160137647837
Random Forest,abundance_group,Very rare (<1e-4),68,5,log1p_shallow_count,0.2673621459058082,12.216470889472369,-0.25207628998371134
Random Forest,abundance_group,Very rare (<1e-4),68,6,shallow_rank_norm,0.23947665449939107,10.942310357692593,-0.18786687596076315
Random Forest,abundance_group,Very rare (<1e-4),68,7,otu_mean_ra_train,0.08671943149067521,3.962436068756929,0.02044107342334454
Random Forest,abundance_group,Very rare (<1e-4),68,8,otu_std_ra_train,0.07557125585596842,3.4530469678776265,0.006119879247788677
Random Forest,abundance_group,Very rare (<1e-4),68,9,otu_max_ra_train,0.0611620118781143,2.7946511841424995,0.004880096777219147
Random Forest,abundance_group,Very rare (<1e-4),68,10,is_other,1.2925957041620006e-05,0.0005906205509479746,-1.2925957041620006e-05
Random Forest,abundance_group,Reference zero,98,1,otu_prevalence_train,0.6602559997473543,28.894601492011862,-0.34167063966168637
Random Forest,abundance_group,Reference zero,98,2,log10_shallow_ra,0.3095734793335022,13.547778924023266,-0.3095734793335022
Random Forest,abundance_group,Reference zero,98,3,log1p_shallow_count,0.3042425796403061,13.314484228802426,-0.3042425796403061
Random Forest,abundance_group,Reference zero,98,4,zero_in_shallow,0.2993098935606576,13.098616446289013,-0.2993098935606576
Random Forest,abundance_group,Reference zero,98,5,shallow_richness,0.28961415119957135,12.674304343407696,-0.06365805061723001
Random Forest,abundance_group,Reference zero,98,6,shallow_rank_norm,0.2555582069171716,11.183923432290436,-0.2555582069171716
Random Forest,abundance_group,Reference zero,98,7,otu_mean_ra_train,0.07222473127538277,3.1607510251605153,-0.039100574690411324
Random Forest,abundance_group,Reference zero,98,8,otu_std_ra_train,0.050670104319364265,2.217461821516096,-0.01765375987239534
Random Forest,abundance_group,Reference zero,98,9,otu_max_ra_train,0.04358930136370491,1.9075865917180703,-0.00872415497200701
Random Forest,abundance_group,Reference zero,98,10,is_other,1.1235470024853794e-05,0.0004916947806120952,-1.1235470024853794e-05
Random Forest,abundance_group,Rare (1e-4 to 1e-3),84,1,otu_prevalence_train,0.46511520613615387,22.844761258326898,0.41182666707766247
Random Forest,abundance_group,Rare (1e-4 to 1e-3),84,2,zero_in_shallow,0.3518150328370878,17.279870290675873,0.09334531328004447
Random Forest,abundance_group,Rare (1e-4 to 1e-3),84,3,shallow_rank_norm,0.30303496733887747,14.883971520284017,0.0809293526279931
Random Forest,abundance_group,Rare (1e-4 to 1e-3),84,4,shallow_richness,0.26377302093403726,12.95556801869383,0.1405111690138324
Random Forest,abundance_group,Rare (1e-4 to 1e-3),84,5,log1p_shallow_count,0.23036576344894297,11.314725467270074,-0.042729755602645504
Random Forest,abundance_group,Rare (1e-4 to 1e-3),84,6,log10_shallow_ra,0.22283262514367014,10.944725209614473,-0.05619137875846007
Random Forest,abundance_group,Rare (1e-4 to 1e-3),84,7,otu_mean_ra_train,0.0855248243437146,4.200667206783533,0.02391348900604911
Random Forest,abundance_group,Rare (1e-4 to 1e-3),84,8,otu_max_ra_train,0.06057977375759067,2.975457371244267,0.01901250767238773
Random Forest,abundance_group,Rare (1e-4 to 1e-3),84,9,otu_std_ra_train,0.05290288689617503,2.598396709192104,0.012027584484424364
Random Forest,abundance_group,Rare (1e-4 to 1e-3),84,10,is_other,3.7807123588174375e-05,0.00185694791492814,-3.7807123588174375e-05
Random Forest,abundance_group,Dominant (>=1e-2),17,1,log10_shallow_ra,0.9149376935804977,23.904650975647186,0.9149376935804977
Random Forest,abundance_group,Dominant (>=1e-2),17,2,log1p_shallow_count,0.874955582882925,22.86003514202149,0.874955582882925
