sample_id,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,zero_in_shallow,target_reference_ra,target_log10_reference_ra,pred_raw_shallow_ra,pred_random_forest_ra,pred_xgboost_ra,is_other,abundance_group,shallow_detection_group,log1p_shallow_count,log10_shallow_ra,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,SHAP__log1p_shallow_count,SHAP__log10_shallow_ra,SHAP__zero_in_shallow,SHAP__shallow_rank_norm,SHAP__shallow_richness,SHAP__otu_mean_ra_train,SHAP__otu_prevalence_train,SHAP__otu_std_ra_train,SHAP__otu_max_ra_train,SHAP__is_other,SHAP_base_value,SHAP_sum,SHAP_reconstructed_log_prediction,model
SRS2822068,5,221529,2000,0,0.0,1.0,6.457549682772874e-05,-4.189864995237727,0.0,8.623258947844747e-07,6.380146323057153e-07,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,90.0,0.00013032937,0.5407855,0.0005200552,0.00779088,-0.29051069612686786,-0.29822189854126596,-0.28274781604434535,-0.24017305365270158,0.011107285492672972,0.03869462573899562,-0.09394912415829995,0.059722117555524756,-0.0011877988177309315,-9.530894514850252e-06,-4.97216971272116,-1.0972758894485333,-6.069445602169694,Random Forest
SRS2822279,3,71581,2000,0,0.0,1.0,8.391138957261133e-05,-4.076127333695325,0.0,9.777385505202163e-07,6.767621827171805e-07,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,111.0,9.82684e-05,0.34743202,0.00092708867,0.015995827,-0.29428846559905975,-0.29720226844768804,-0.2841873126602258,-0.23438555972058436,0.6144480446949779,0.0023607006261190996,-0.7586614615070131,0.017284168346648844,0.19139156205797128,-9.147173980917405e-06,-4.97216971272116,-1.0432497393828346,-6.015419452103995,Random Forest
SRS2821987,4,9456,2000,0,0.0,1.0,7.739578657337892e-06,-5.110721909334661,0.0,3.2093949879645586e-07,9.715919068826613e-07,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,80.0,0.00011792643,0.6918429,0.0002351788,0.0014995105,-0.2866550894731719,-0.2935202080136151,-0.2793187897243736,-0.245436259144916,-0.30326153011730766,-0.09134118178814835,0.10697159430589012,-0.04838693819216199,-0.07711916744874991,-1.0544992916662111e-05,-4.97216971272116,-1.518078114589471,-6.490247827310632,Random Forest
SRS2821875,4,129390,2000,0,0.0,1.0,0.0002617277108062753,-3.582133700305529,0.0,3.267311835814859e-05,1.3079778386308328e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,93.0,0.00013956128,0.63746226,0.00022922806,0.0016121782,-0.24499623728120543,-0.24808854659063773,-0.22681185654087654,-0.19780463912861584,0.5274283075297136,0.091101214337016,0.45008305307829155,0.18287366714288875,0.13909082952527282,-9.38074752806399e-06,-4.97216971272116,0.47286641132431934,-4.499303301396841,Random Forest
SRS2821901,2,211915,2000,0,0.0,1.0,3.0745895422961036e-05,-4.5120716244656265,0.0,2.2852463697094245e-05,1.1645069440284644e-05,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,91.0,0.00017470912,0.63141996,0.00026357675,0.0017431062,-0.24963539946625718,-0.25604385075648356,-0.23773415492999989,-0.20285699956332373,0.43595194418942873,0.10430034701047934,0.4573260337695353,0.16277102707316116,0.10931998028620224,-9.42880315890641e-06,-4.97216971272116,0.32338949880958345,-4.648780213911577,Random Forest
SRS2822063,4,185862,2000,0,0.0,1.0,0.0005185888539916732,-3.2851684472767375,0.0,2.233635154048802e-06,7.871770921615499e-06,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,78.0,0.0005944871,0.8187311,0.0012293091,0.010404818,-0.2618407802360661,-0.27054037509389844,-0.26096624454825806,-0.22119405888334576,-0.21044615466927427,-0.01391918760823688,0.6855364171923758,-0.06765876227006612,-0.061063381595577504,-1.7367676415865778e-05,-4.97216971272116,-0.6821098953887632,-5.654279608109924,Random Forest
SRS2822116,5,175037,2000,0,0.0,1.0,9.496375549998415e-05,-4.0223963885658796,0.0,5.938664989501332e-07,3.9679409252559455e-07,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,64.0,0.00018305703,0.64350456,0.00051597116,0.005605971,-0.29655798266096667,-0.30038602739075687,-0.28241039879161617,-0.24226681723167517,-0.44778264611598784,0.05334752635308379,0.16760194266537665,0.0317482505377011,0.05462888095464958,-8.572143776942522e-06,-4.97216971272116,-1.2620858438239686,-6.234255556545129,Random Forest
SRS2822180,2,11043,2000,0,0.0,1.0,9.06799180253541e-06,-5.042010213762727,0.0,2.3627166850815518e-07,1.6784749684649802e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,68.0,0.00011438911,0.72507554,0.00027012246,0.003013561,-0.2883380741005832,-0.292952079496994,-0.27548736362583337,-0.23288905904528714,-0.5442541770399805,-0.11158339620539857,0.2384133962611995,-0.061334179684528235,-0.07480085045078783,-9.067635134063406e-06,-4.97216971272116,-1.6432348510233272,-6.615404563744487,Random Forest
SRS2822298,3,9456,2000,0,0.0,1.0,1.6506825572374177e-05,-4.782073417601298,0.0,7.858602983437488e-07,6.439245797210799e-07,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,78.0,0.00011792643,0.6918429,0.0002351788,0.0014995105,-0.28313712293861554,-0.28870524146561666,-0.27493823252882305,-0.2381116576971362,-0.255334293648398,-0.01409453485629261,0.2332551818744656,-0.0034609339233073653,-0.014593034274885173,-1.116814073211566e-05,-4.97216971272116,-1.1391310375993413,-6.111300750320502,Random Forest
SRS2822080,5,182860,2000,0,0.0,1.0,4.1164686187875625e-05,-4.385369702113116,0.0,0.00024150181081147723,0.00012436285357869797,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,91.0,0.0008390357,0.9667674,0.0023867982,0.034942154,-0.2080355788201346,-0.21182900707743502,-0.18355424389269118,-0.15634208414230877,0.2518129892532978,0.1594975350066591,1.6247767341079902,0.09332889570051663,-0.026742926433057198,-1.568160951379499e-05,-4.97216971272116,1.342896632093323,-3.6292730806278373,Random Forest
