metric,direction,method,method_short,n_biological_samples,mean,standard_deviation,median,q25,q75,mean_plus_minus_sd,median_IQR,rank_by_mean,is_best_by_mean
Bray_Curtis,lower,Raw shallow RA,Raw,72,0.05876388451385956,0.009240459935159505,0.05645144287271217,0.05126635785202843,0.06670523132915793,0.0587639 ± 0.00924046,"0.0564514 [0.0512664, 0.0667052]",2,False
Bray_Curtis,lower,Training-mean RA,Mean,72,0.39857045024500526,0.07520007716976804,0.3944198082248581,0.34499270419856365,0.4443466177485307,0.39857 ± 0.0752001,"0.39442 [0.344993, 0.444347]",4,False
Bray_Curtis,lower,Random Forest,RF,72,0.05519076170985751,0.008753574171252174,0.05500907676430901,0.04936922569595181,0.06110367685589929,0.0551908 ± 0.00875357,"0.0550091 [0.0493692, 0.0611037]",1,True
Bray_Curtis,lower,XGBoost,XGB,72,0.07623659700268655,0.028385714397140122,0.06776478917759773,0.06161128972814564,0.08073655743109899,0.0762366 ± 0.0283857,"0.0677648 [0.0616113, 0.0807366]",3,False
Jensen_Shannon_distance,lower,Raw shallow RA,Raw,72,0.11391534119557238,0.013844066321551182,0.11484458995750357,0.10329966963788696,0.1262471450174274,0.113915 ± 0.0138441,"0.114845 [0.1033, 0.126247]",3,False
Jensen_Shannon_distance,lower,Training-mean RA,Mean,72,0.45208672525311955,0.06836203757519416,0.4437101490832729,0.40609896403913176,0.4905584085745065,0.452087 ± 0.068362,"0.44371 [0.406099, 0.490558]",4,False
Jensen_Shannon_distance,lower,Random Forest,RF,72,0.09751675954652346,0.01172863555679602,0.09943535954434318,0.0928448946957401,0.10471157754965735,0.0975168 ± 0.0117286,"0.0994354 [0.0928449, 0.104712]",1,True
Jensen_Shannon_distance,lower,XGBoost,XGB,72,0.10892847737443513,0.019600772654042767,0.10511870482073969,0.09998180964708436,0.11469898084250124,0.108928 ± 0.0196008,"0.105119 [0.0999818, 0.114699]",2,False
RAD_RMSE_log10_RA_specific,lower,Raw shallow RA,Raw,72,2.1907365825813034,0.31326758471862265,2.2704473177123963,2.1597017652814516,2.3949432806841076,2.19074 ± 0.313268,"2.27045 [2.1597, 2.39494]",3,False
RAD_RMSE_log10_RA_specific,lower,Training-mean RA,Mean,72,2.3629004872125625,0.4968703101823509,2.3022467042870898,2.003418063267081,2.702143840956225,2.3629 ± 0.49687,"2.30225 [2.00342, 2.70214]",4,False
RAD_RMSE_log10_RA_specific,lower,Random Forest,RF,72,0.9089681888764906,0.1688202203454214,0.8961896265353819,0.811170728001392,0.9627142711867577,0.908968 ± 0.16882,"0.89619 [0.811171, 0.962714]",1,True
RAD_RMSE_log10_RA_specific,lower,XGBoost,XGB,72,0.9270074146883255,0.1658912107120721,0.9184690947283239,0.8263038673298219,0.9825474458557739,0.927007 ± 0.165891,"0.918469 [0.826304, 0.982547]",2,False
RAD_tail_MAE_log10,lower,Raw shallow RA,Raw,72,1.2776889897972699,0.8218198203394573,1.3327628688249078,0.6051606574186819,1.9409331692314356,1.27769 ± 0.82182,"1.33276 [0.605161, 1.94093]",3,False
RAD_tail_MAE_log10,lower,Training-mean RA,Mean,72,2.8928093825017145,0.8218198203394571,2.837735503474077,2.229565203067549,3.565337714880303,2.89281 ± 0.82182,"2.83774 [2.22957, 3.56534]",4,False
RAD_tail_MAE_log10,lower,Random Forest,RF,72,0.9977086348210593,0.20179890261137398,1.0061298847785949,0.893377515202694,1.111182721256096,0.997709 ± 0.201799,"1.00613 [0.893378, 1.11118]",1,True
RAD_tail_MAE_log10,lower,XGBoost,XGB,72,1.031880004525094,0.1978008531167803,1.0328710531757057,0.9196789628774392,1.1366055171585885,1.03188 ± 0.197801,"1.03287 [0.919679, 1.13661]",2,False
Shannon_absolute_error,lower,Raw shallow RA,Raw,72,0.039849660436979926,0.014168662724332747,0.036754161360490506,0.029637466636227447,0.04812466369617991,0.0398497 ± 0.0141687,"0.0367542 [0.0296375, 0.0481247]",1,True
Shannon_absolute_error,lower,Training-mean RA,Mean,72,0.6293028641223137,0.34555531175130794,0.5956452047900769,0.30961746888088215,0.887953378742652,0.629303 ± 0.345555,"0.595645 [0.309617, 0.887953]",4,False
Shannon_absolute_error,lower,Random Forest,RF,72,0.0830121577874714,0.02689958131788894,0.08635424233784367,0.06721204669395507,0.10193410912314604,0.0830122 ± 0.0268996,"0.0863542 [0.067212, 0.101934]",2,False
Shannon_absolute_error,lower,XGBoost,XGB,72,0.114947700247086,0.06691285488180451,0.10383094425727024,0.07717524924019417,0.14134117843679683,0.114948 ± 0.0669129,"0.103831 [0.0771752, 0.141341]",3,False
richness_1read_absolute_error,lower,Raw shallow RA,Raw,72,16.62777777777778,6.1934363762861775,16.6,12.85,21.25,16.6278 ± 6.19344,"16.6 [12.85, 21.25]",3,False
richness_1read_absolute_error,lower,Training-mean RA,Mean,72,30.01388888888889,15.932509996996137,31.0,14.75,42.0,30.0139 ± 15.9325,"31 [14.75, 42]",4,False
richness_1read_absolute_error,lower,Random Forest,RF,72,6.605555555555554,3.4926034072379863,6.4,4.05,8.7,6.60556 ± 3.4926,"6.4 [4.05, 8.7]",1,True
richness_1read_absolute_error,lower,XGBoost,XGB,72,7.0055555555555555,3.961927575000099,6.9,4.05,9.299999999999999,7.00556 ± 3.96193,"6.9 [4.05, 9.3]",2,False
