metric,direction,method_A,method_B,comparison,n_paired_samples,mean_method_A,mean_method_B,mean_oriented_improvement_B_over_A,mean_improvement_ci_low,mean_improvement_ci_high,median_oriented_improvement_B_over_A,median_improvement_ci_low,median_improvement_ci_high,relative_improvement_percent_B_over_A,rank_biserial_effect_B_over_A,wilcoxon_statistic,p_raw,p_holm_within_metric,p_holm_formatted,significance
composition_RMSE_RA,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.0013098609802628957,0.001369995875448014,-6.0134895185118047e-05,-8.547607104504899e-05,-3.6054805820343494e-05,-5.728099590189984e-05,-7.605632419870002e-05,-3.3458729167149936e-05,-4.590937213279597,-0.5996955859969558,526.0,9.77849080227418e-06,9.77849080227418e-06,<0.001,***
composition_RMSE_RA,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.0013098609802628957,0.0028765178548000956,-0.0015666568745372,-0.002105336818029935,-0.001095884065534645,-0.00068524690619265,-0.00116487553896375,-0.00045556658461925006,-119.60482052246215,-0.9299847792998478,92.0,7.00812043913115e-12,2.102436131739345e-11,<0.001,***
composition_RMSE_RA,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.001369995875448014,0.0028765178548000956,-0.0015065219793520819,-0.002042440493270993,-0.0010430040596773012,-0.0006231675175993001,-0.0010875258932479,-0.00037312581135160003,-109.96543904626144,-0.8995433789954338,132.0,3.288834397016493e-11,6.577668794032986e-11,<0.001,***
composition_Spearman,higher,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.798656422833813,0.8452153579079736,0.04655893507416061,0.031743384818330646,0.06032603689381239,0.06234867141442185,0.05634270113972922,0.06983706262832146,5.829657627864439,0.7290715372907154,356.0,7.61577945933446e-08,7.61577945933446e-08,<0.001,***
composition_Spearman,higher,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.798656422833813,0.8509333783115162,0.0522769554777032,0.037267108463644436,0.06549939513247188,0.06925951427461363,0.06193402064475251,0.07571588059465252,6.545612604255124,0.773972602739726,297.0,1.1492248760544055e-08,2.298449752108811e-08,<0.001,***
composition_Spearman,higher,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.8452153579079736,0.8509333783115162,0.0057180204035425924,0.004581084489305558,0.0069332193632319974,0.005019224624590979,0.004177087595605408,0.006159705775996005,0.6765163872193974,0.9048706240487062,125.0,2.5181901626346846e-11,7.554570487904053e-11,<0.001,***
Bray_Curtis,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.058763884513859534,0.05519076170985746,0.003573122804002072,0.0026430498243871655,0.00448706135136394,0.003402894327031801,0.0022833785790422508,0.0047491484668425,6.080474144215817,0.7990867579908676,264.0,3.8090727902463805e-09,7.618145580492761e-09,<0.001,***
Bray_Curtis,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.058763884513859534,0.07623659700268652,-0.017472712488826973,-0.025080051245389978,-0.010631732988937517,-0.005382736515633299,-0.01273937074624265,-0.0020255087832204456,-29.73376017153193,-0.6202435312024354,499.0,4.795745397927716e-06,4.795745397927716e-06,<0.001,***
Bray_Curtis,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.05519076170985746,0.07623659700268652,-0.02104583529282905,-0.02832844742715911,-0.014656130231308923,-0.0101038727147553,-0.014620217186957194,-0.006402160562521648,-38.132895145511505,-0.9208523592085236,104.0,1.1201770266131891e-11,3.360531079839567e-11,<0.001,***
Jensen_Shannon_distance,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.11391534119557233,0.09751675954652343,0.016398581649048897,0.014052450177775445,0.018669103995305088,0.016460157179497496,0.013613246331608556,0.0190357208973772,14.39541108066863,0.9528158295281582,62.0,2.1278181511160794e-12,4.255636302232159e-12,<0.001,***
Jensen_Shannon_distance,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.11391534119557233,0.10892847737443506,0.004986863821137245,3.352503324906071e-05,0.00945974130304966,0.010708873125355949,0.006242226105797402,0.012650531411150362,4.377692915457022,0.441400304414003,734.0,0.0011347934789503059,0.0011347934789503059,0.001,**
Jensen_Shannon_distance,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.09751675954652343,0.10892847737443506,-0.01141171782791165,-0.015509152321365736,-0.007791929000469804,-0.004733398020201743,-0.0068158854464513,-0.003564563231803604,-11.702314433927956,-0.9665144596651446,44.0,1.0269135578737924e-12,3.0807406736213775e-12,<0.001,***
RAD_RMSE_log10_RA_specific,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,2.1907365825813034,0.9089681888764906,1.2817683937048132,1.1740382892661863,1.3795633574934758,1.3513217758190414,1.320470904462446,1.429607038339463,58.50855844085688,0.9939117199391172,8.0,2.320984633931188e-13,9.952510814258381e-13,<0.001,***
RAD_RMSE_log10_RA_specific,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,2.1907365825813034,0.9270074146883255,1.263729167892978,1.1535457202139268,1.3631767554416938,1.3360893080385114,1.2928078203316489,1.4304931877788205,57.685126452033295,0.9939117199391172,8.0,2.320984633931188e-13,9.952510814258381e-13,<0.001,***
RAD_RMSE_log10_RA_specific,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.9089681888764906,0.9270074146883255,-0.018039225811834963,-0.021811725151011097,-0.014266326096480477,-0.01630996836119497,-0.019279142995641485,-0.014532271912369277,-1.9845827425635103,-0.867579908675799,174.0,1.5811677032123696e-10,3.1623354064247393e-10,<0.001,***
RAD_head_MAE_log10,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.02990922687714892,0.030377095307933675,-0.0004678684307847509,-0.0009984332167514644,6.02337351719556e-05,-0.0004106725789817505,-0.0012431039479701338,1.5234871062351843e-05,-1.5642946329121368,-0.2671232876712329,963.0,0.048872256931251204,0.048872256931251204,0.049,*
