metric,direction,method_A,method_B,comparison,n_paired_samples,mean_method_A,mean_method_B,mean_oriented_improvement_B_over_A,mean_improvement_ci_low,mean_improvement_ci_high,median_oriented_improvement_B_over_A,median_improvement_ci_low,median_improvement_ci_high,relative_improvement_percent_B_over_A,rank_biserial_effect_B_over_A,wilcoxon_statistic,p_raw,p_holm_within_metric,p_holm_formatted,significance
composition_RMSE_RA,lower,Raw shallow RA,Training-mean RA,Training-mean RA vs Raw shallow RA,72,0.0013098609802628957,0.01326036165710762,-0.011950500676844724,-0.013132082272351409,-0.010863806894309363,-0.0106152387775811,-0.011721339529695,-0.0096875856117904,-912.3487802840114,-1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
composition_RMSE_RA,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.0013098609802628957,0.001369995875448014,-6.0134895185118047e-05,-8.547607104504899e-05,-3.6054805820343494e-05,-5.728099590189984e-05,-7.605632419870002e-05,-3.3458729167149936e-05,-4.590937213279597,-0.5996955859969558,526.0,9.77849080227418e-06,9.77849080227418e-06,<0.001,***
composition_RMSE_RA,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.0013098609802628957,0.0028765178548000956,-0.0015666568745372,-0.002105336818029935,-0.001095884065534645,-0.00068524690619265,-0.00116487553896375,-0.00045556658461925006,-119.60482052246215,-0.9299847792998478,92.0,7.00812043913115e-12,2.102436131739345e-11,<0.001,***
composition_RMSE_RA,lower,Training-mean RA,Random Forest,Random Forest vs Training-mean RA,72,0.01326036165710762,0.001369995875448014,0.011890365781659605,0.01085298406916918,0.012990374016298024,0.0106091943014327,0.00959774813666905,0.0117278608300278,89.66848785218698,1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
composition_RMSE_RA,lower,Training-mean RA,XGBoost,XGBoost vs Training-mean RA,72,0.01326036165710762,0.0028765178548000956,0.010383843802307524,0.009657521033771375,0.011132655256168881,0.00985208837486545,0.009000884724281049,0.0110281406030901,78.30739515872655,1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
composition_RMSE_RA,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.001369995875448014,0.0028765178548000956,-0.0015065219793520819,-0.002042440493270993,-0.0010430040596773012,-0.0006231675175993001,-0.0010875258932479,-0.00037312581135160003,-109.96543904626144,-0.8995433789954338,132.0,3.288834397016493e-11,6.577668794032986e-11,<0.001,***
composition_Spearman,higher,Raw shallow RA,Training-mean RA,Training-mean RA vs Raw shallow RA,72,0.798656422833813,0.5854992486605802,-0.2131571741732327,-0.23036585293370457,-0.1978880562843383,-0.20297933154640918,-0.21595916531040837,-0.19400153894051547,-26.689470976380942,-1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
composition_Spearman,higher,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.798656422833813,0.8452153579079736,0.04655893507416061,0.031743384818330646,0.06032603689381239,0.06234867141442185,0.05634270113972922,0.06983706262832146,5.829657627864439,0.7290715372907154,356.0,7.61577945933446e-08,7.61577945933446e-08,<0.001,***
composition_Spearman,higher,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.798656422833813,0.8509333783115162,0.0522769554777032,0.037267108463644436,0.06549939513247188,0.06925951427461363,0.06193402064475251,0.07571588059465252,6.545612604255124,0.773972602739726,297.0,1.1492248760544055e-08,2.298449752108811e-08,<0.001,***
composition_Spearman,higher,Training-mean RA,Random Forest,Random Forest vs Training-mean RA,72,0.5854992486605802,0.8452153579079736,0.2597161092473933,0.2479737258666155,0.2719717522698083,0.2610533834939764,0.2474425494036605,0.27387776951460807,44.35806020956202,1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
