metric,direction,method_A,method_B,comparison,n_paired_samples,mean_method_A,mean_method_B,mean_oriented_improvement_B_over_A,mean_improvement_ci_low,mean_improvement_ci_high,median_oriented_improvement_B_over_A,median_improvement_ci_low,median_improvement_ci_high,relative_improvement_percent_B_over_A,rank_biserial_effect_B_over_A,wilcoxon_statistic,p_raw,p_holm_within_metric,p_holm_formatted,significance
Bray_Curtis,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.05838002963787728,0.054835827176728386,0.003544202461148887,0.00255965025218507,0.00448061580121966,0.0037285071916502016,0.0026325624144500487,0.004572706031167904,6.0709158305212565,0.7724505327245054,299.0,1.2274518144917528e-08,2.4549036289835056e-08,<0.001,***
Bray_Curtis,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.05838002963787728,0.07610975943812365,-0.017729729800246383,-0.025361422948289605,-0.01086840358825997,-0.007262881780854952,-0.011333500043809147,-0.001641464550819198,-30.3695114754502,-0.6453576864535768,466.0,1.9482825825660808e-06,1.9482825825660808e-06,<0.001,***
Bray_Curtis,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.054835827176728386,0.07610975943812365,-0.02127393226139527,-0.02852711715500558,-0.014822764144117493,-0.010255582711730597,-0.015371446330185497,-0.007009990015630796,-38.795680409510894,-0.928462709284627,94.0,7.580244765130386e-12,2.2740734295391157e-11,<0.001,***
Jensen_Shannon_distance,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.11385682401362551,0.09784809234009767,0.016008731673527826,0.013552170506378351,0.018309179215038034,0.015534365349649047,0.014104234331052345,0.01804772125959584,14.06040596355651,0.926179604261796,97.0,8.525210571085468e-12,1.7050421142170937e-11,<0.001,***
Jensen_Shannon_distance,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.11385682401362551,0.10939423957934541,0.00446258443428008,-0.0004881133487552138,0.008883389642780081,0.010567078992603202,0.006003867439176691,0.013760501190075748,3.919470328582199,0.4200913242009132,762.0,0.0019505849121215747,0.0019505849121215747,0.002,**
Jensen_Shannon_distance,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.09784809234009767,0.10939423957934541,-0.011546147239247743,-0.015619923488479199,-0.007985365704774093,-0.0060485768076664476,-0.006661317653283094,-0.0036135921566560064,-11.80007393410999,-0.984779299847793,20.0,3.8273221714385753e-13,1.1481966514315725e-12,<0.001,***
RAD_RMSE_log10_RA_specific,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,2.1954643821919086,0.9073737411937195,1.2880906409981887,1.1853988388089942,1.3808966042481563,1.370663988016966,1.3280903418431287,1.4057517737366447,58.67053236874582,0.9954337899543378,6.0,2.1344217428148756e-13,9.952510814258381e-13,<0.001,***
RAD_RMSE_log10_RA_specific,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,2.1954643821919086,0.927850258165161,1.2676141240267471,1.163862069344339,1.361581513693649,1.338764828697589,1.3028303972513362,1.4080125341139262,57.73785875593146,0.9954337899543378,6.0,2.1344217428148756e-13,9.952510814258381e-13,<0.001,***
RAD_RMSE_log10_RA_specific,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.9073737411937195,0.927850258165161,-0.020476516971441514,-0.0246151298756866,-0.01618469498800958,-0.020252823581434043,-0.024683154763307125,-0.017524659334758608,-2.256679474160566,-0.8614916286149162,182.0,2.1193019918870536e-10,4.2386039837741073e-10,<0.001,***
RAD_tail_MAE_log10,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,1.2776889897972699,0.9986245663518473,0.2790644234454226,0.09168766526514412,0.47104858772601577,0.26658852697690116,0.01921406464230052,0.4463413881829761,21.84134211641767,0.3614916286149163,839.0,0.0076861493969669886,0.015372298793933977,0.015,*
RAD_tail_MAE_log10,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,1.2776889897972699,1.035847826342493,0.2418411634547768,0.047301904607785134,0.4381128872902886,0.2278335397386968,-0.04484589208395412,0.4287832436116117,18.92801498533298,0.3181126331811263,896.0,0.018992004237139922,0.018992004237139922,0.019,*
RAD_tail_MAE_log10,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.9986245663518473,1.035847826342493,-0.037223259990645755,-0.04188498892025885,-0.03273633433291045,-0.03268038661674755,-0.0375368295577897,-0.028976873811983106,-3.7274528631544657,-0.997716894977169,3.0,1.8818774510349353e-13,9.952510814258381e-13,<0.001,***
Shannon_absolute_error,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.03842910054913652,0.08290667751254856,-0.04447757696341202,-0.04882148605843601,-0.039890093061899855,-0.0477455647876477,-0.054704459927286404,-0.042524877392916695,-115.73931298897242,-0.9931506849315068,9.0,2.420182463510591e-13,9.952510814258381e-13,<0.001,***
Shannon_absolute_error,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.03842910054913652,0.11700197233330568,-0.07857287178416916,-0.09436787939452476,-0.06403003325397083,-0.0678288880765622,-0.07923263351902025,-0.0620542889907102,-204.46190689189746,-0.9703196347031964,39.0,8.37283288315434e-13,1.674566576630868e-12,<0.001,***
Shannon_absolute_error,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.08290667751254856,0.11700197233330568,-0.034095294820757134,-0.049553865441912696,-0.019887890085159007,-0.02221980795060135,-0.0301052701525489,-0.0074154531303236015,-41.124907961239366,-0.5487062404870624,593.0,5.209333696776679e-05,5.209333696776679e-05,<0.001,***
richness_1read_absolute_error,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,16.48888888888889,6.786111111111111,9.702777777777776,8.08326388888889,11.333333333333334,9.8,8.2,11.399999999999999,58.84433962264152,0.9334094368340944,87.5,5.8638715117228475e-12,3.5183229070337085e-11,<0.001,***
richness_1read_absolute_error,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,16.48888888888889,7.222222222222222,9.266666666666667,7.622152777777777,10.919513888888888,9.9,7.999999999999999,11.0,56.19946091644206,0.9033485540334856,127.0,2.715799011921902e-11,8.147397035765706e-11,<0.001,***
richness_1read_absolute_error,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,6.786111111111111,7.222222222222222,-0.4361111111111112,-0.7972222222222223,-0.0944444444444445,-0.40000000000000036,-0.8000000000000003,-0.20000000000000018,-6.426524764633644,-0.34507042253521125,837.0,0.01146807302223755,0.01146807302223755,0.011,*
